year,month,rainfall,date
1895,9,18.5,1895-09-01
1895,10,190.3,1895-10-01
1895,11,94.1,1895-11-01
1895,12,82.0,1895-12-01
1896,1,3.6,1896-01-01
1896,2,6.2,1896-02-01
1896,3,86.6,1896-03-01
1896,4,47.3,1896-04-01
1896,5,92.2,1896-05-01
1896,6,103.9,1896-06-01
1896,7,77.5,1896-07-01
1896,8,136.6,1896-08-01
1896,9,31.9,1896-09-01
1896,10,377.3,1896-10-01
1896,11,130.9,1896-11-01
1896,12,230.0,1896-12-01
1897,1,202.0,1897-01-01
1897,2,19.1,1897-02-01
1897,3,25.3,1897-03-01
1897,4,32.6,1897-04-01
1897,5,54.5,1897-05-01
1897,6,6.2,1897-06-01
1897,7,18.9,1897-07-01
1897,8,15.3,1897-08-01
1897,9,64.4,1897-09-01
1897,10,229.8,1897-10-01
1897,11,43.4,1897-11-01
1897,12,98.9,1897-12-01
1898,1,87.0,1898-01-01
1898,2,71.9,1898-02-01
1898,3,110.6,1898-03-01
1898,4,124.3,1898-04-01
1898,5,98.7,1898-05-01
1898,6,33.6,1898-06-01
1898,7,28.7,1898-07-01
1898,8,6.0,1898-08-01
1898,9,29.2,1898-09-01
1898,10,219.2,1898-10-01
1898,11,150.1,1898-11-01
1898,12,9.0,1898-12-01
1899,1,54.7,1899-01-01
1899,2,22.6,1899-02-01
1899,3,30.4,1899-03-01
1899,4,128.3,1899-04-01
1899,5,116.4,1899-05-01
1899,6,79.8,1899-06-01
1899,7,6.3,1899-07-01
1899,8,61.5,1899-08-01
1899,9,34.2,1899-09-01
1899,10,13.1,1899-10-01
1899,11,50.4,1899-11-01
1899,12,54.2,1899-12-01
1900,1,68.0,1900-01-01
1900,2,150.4,1900-02-01
1900,3,150.4,1900-03-01
1900,4,13.2,1900-04-01
1900,5,236.6,1900-05-01
1900,6,36.5,1900-06-01
1900,7,2.9,1900-07-01
1900,8,68.6,1900-08-01
1900,9,194.0,1900-09-01
1900,10,63.3,1900-10-01
1900,11,288.8,1900-11-01
1900,12,32.5,1900-12-01
1901,1,4.0,1901-01-01
1901,2,41.0,1901-02-01
1901,3,411.5,1901-03-01
1901,4,54.5,1901-04-01
1901,5,73.9,1901-05-01
1901,6,449.0,1901-06-01
1901,7,92.8,1901-07-01
1901,8,21.8,1901-08-01
1901,9,253.0,1901-09-01
1901,10,394.3,1901-10-01
1901,11,47.2,1901-11-01
1901,12,180.0,1901-12-01
1902,1,69.2,1902-01-01
1902,2,138.7,1902-02-01
1902,3,44.7,1902-03-01
1902,4,94.9,1902-04-01
1902,5,56.5,1902-05-01
1902,6,52.8,1902-06-01
1902,7,5.0,1902-07-01
1902,8,47.4,1902-08-01
1902,9,28.5,1902-09-01
1902,10,71.8,1902-10-01
1902,11,82.2,1902-11-01
1902,12,64.0,1902-12-01
1903,1,62.1,1903-01-01
1903,2,14.0,1903-02-01
1903,3,68.3,1903-03-01
1903,4,213.4,1903-04-01
1903,5,145.5,1903-05-01
1903,6,212.1,1903-06-01
1903,7,23.3,1903-07-01
1903,8,9.8,1903-08-01
1903,9,27.3,1903-09-01
1903,10,217.8,1903-10-01
1903,11,46.9,1903-11-01
1903,12,226.9,1903-12-01
1904,1,17.2,1904-01-01
1904,2,105.4,1904-02-01
1904,3,85.0,1904-03-01
1904,4,31.4,1904-04-01
1904,5,5.3,1904-05-01
1904,6,18.3,1904-06-01
1904,7,23.0,1904-07-01
1904,8,37.4,1904-08-01
1904,9,84.7,1904-09-01
1904,10,82.7,1904-10-01
1904,11,15.9,1904-11-01
1904,12,64.9,1904-12-01
1905,1,10.0,1905-01-01
1905,2,98.5,1905-02-01
1905,3,106.3,1905-03-01
1905,4,115.8,1905-04-01
1905,5,292.0,1905-05-01
1905,6,47.4,1905-06-01
1905,7,2.4,1905-07-01
1905,8,178.9,1905-08-01
1905,9,150.0,1905-09-01
1905,10,45.6,1905-10-01
1905,11,312.0,1905-11-01
1905,12,26.3,1905-12-01
1906,1,0.6,1906-01-01
1906,2,78.4,1906-02-01
1906,3,73.3,1906-03-01
1906,4,89.7,1906-04-01
1906,5,36.6,1906-05-01
