year,month,rainfall,date
1903,11,110.2,1903-11-01
1903,12,276.7,1903-12-01
1904,1,67.8,1904-01-01
1904,2,58.9,1904-02-01
1904,3,88.4,1904-03-01
1904,4,50.5,1904-04-01
1904,5,7.8,1904-05-01
1904,6,15.7,1904-06-01
1904,7,39.1,1904-07-01
1904,8,113.3,1904-08-01
1904,9,105.9,1904-09-01
1904,10,43.9,1904-10-01
1904,11,44.8,1904-11-01
1904,12,46.6,1904-12-01
1905,1,31.5,1905-01-01
1905,2,71.2,1905-02-01
1905,3,64.9,1905-03-01
1905,4,72.2,1905-04-01
1905,5,141.3,1905-05-01
1905,6,81.9,1905-06-01
1905,7,50.3,1905-07-01
1905,8,174.5,1905-08-01
1905,9,148.5,1905-09-01
1905,10,221.5,1905-10-01
1905,11,317.5,1905-11-01
1905,12,13.1,1905-12-01
1906,1,77.0,1906-01-01
1906,2,71.4,1906-02-01
1906,3,97.0,1906-03-01
1906,4,50.6,1906-04-01
1906,5,105.5,1906-05-01
1906,6,67.0,1906-06-01
1906,7,63.0,1906-07-01
1906,8,0.5,1906-08-01
1906,9,32.1,1906-09-01
1906,10,165.2,1906-10-01
1906,11,277.3,1906-11-01
1906,12,76.5,1906-12-01
1907,1,59.1,1907-01-01
1907,2,42.3,1907-02-01
1907,3,23.0,1907-03-01
1907,4,128.9,1907-04-01
1907,5,36.4,1907-05-01
1907,6,44.0,1907-06-01
1907,7,23.9,1907-07-01
1907,8,0.3,1907-08-01
1907,9,101.3,1907-09-01
1907,10,420.4,1907-10-01
1907,11,115.3,1907-11-01
1907,12,187.3,1907-12-01
1908,1,36.4,1908-01-01
1908,2,59.3,1908-02-01
1908,3,185.5,1908-03-01
1908,4,87.4,1908-04-01
1908,5,63.9,1908-05-01
1908,6,84.7,1908-06-01
1908,7,71.7,1908-07-01
1908,8,88.8,1908-08-01
1908,9,28.1,1908-09-01
1908,10,28.5,1908-10-01
1908,11,90.6,1908-11-01
1908,12,74.0,1908-12-01
1909,1,47.7,1909-01-01
1909,2,47.9,1909-02-01
1909,3,235.7,1909-03-01
1909,4,14.3,1909-04-01
1909,5,50.9,1909-05-01
1909,6,231.8,1909-06-01
1909,7,5.8,1909-07-01
1909,8,98.0,1909-08-01
1909,9,111.7,1909-09-01
1909,10,125.0,1909-10-01
1909,11,154.9,1909-11-01
1909,12,80.4,1909-12-01
1910,1,106.3,1910-01-01
1910,2,119.6,1910-02-01
1910,3,31.2,1910-03-01
1910,4,71.2,1910-04-01
1910,5,44.9,1910-05-01
1910,6,50.2,1910-06-01
1910,7,3.5,1910-07-01
1910,8,57.8,1910-08-01
1910,9,97.9,1910-09-01
1910,10,167.4,1910-10-01
1910,11,217.9,1910-11-01
1910,12,171.7,1910-12-01
1911,1,18.4,1911-01-01
1911,2,29.7,1911-02-01
1911,3,73.6,1911-03-01
1911,4,145.9,1911-04-01
1911,5,146.2,1911-05-01
1911,6,141.8,1911-06-01
1911,7,3.6,1911-07-01
1911,8,34.2,1911-08-01
1911,9,140.8,1911-09-01
1911,10,49.0,1911-10-01
1911,11,122.6,1911-11-01
1911,12,104.0,1911-12-01
1912,1,141.3,1912-01-01
1912,2,78.5,1912-02-01
1912,3,71.4,1912-03-01
1912,4,33.0,1912-04-01
1912,5,102.0,1912-05-01
1912,6,86.6,1912-06-01
1912,7,27.5,1912-07-01
1912,8,44.4,1912-08-01
1912,9,29.2,1912-09-01
1912,10,179.9,1912-10-01
1912,11,84.4,1912-11-01
1912,12,95.2,1912-12-01
1913,1,95.6,1913-01-01
1913,2,9.5,1913-02-01
1913,3,85.0,1913-03-01
1913,4,118.6,1913-04-01
1913,5,41.0,1913-05-01
1913,6,95.3,1913-06-01
1913,7,79.4,1913-07-01
1913,8,2.2,1913-08-01
1913,9,160.2,1913-09-01
1913,10,115.1,1913-10-01
1913,11,238.9,1913-11-01
1913,12,63.7,1913-12-01
1914,1,62.3,1914-01-01
1914,2,65.5,1914-02-01
1914,3,133.0,1914-03-01
1914,4,26.2,1914-04-01
1914,5,146.0,1914-05-01
1914,6,80.5,1914-06-01
1914,7,12.8,1914-07-01
1914,8,57.7,1914-08-01
1914,9,80.8,1914-09-01
1914,10,193.5,1914-10-01
1914,11,103.1,1914-11-01
1914,12,181.5,1914-12-01
1915,1,155.4,1915-01-01
1915,2,218.4,1915-02-01
1915,3,100.4,1915-03-01
1915,4,62.6,1915-04-01
1915,5,88.2,1915-05-01
1915,6,273.1,1915-06-01
1915,7,24.3,1915-07-01
1915,8,0.4,1915-08-01
1915,9,145.8,1915-09-01
1915,10,69.7,1915-10-01
1915,11,170.6,1915-11-01
