year,month,rainfall,date
1935,3,47.55000142008066,1935-03-01
1935,4,80.49999986588955,1935-04-01
1935,5,100.6500003375113,1935-05-01
1935,6,1.4000000096857548,1935-06-01
1935,7,1.0000000037252903,1935-07-01
1935,8,151.0000010728836,1935-08-01
1935,9,49.15000054240227,1935-09-01
1935,10,350.25000500679016,1935-10-01
1935,11,147.05000019818544,1935-11-01
1935,12,153.8499988988042,1935-12-01
1936,1,141.95000053942204,1936-01-01
1936,2,82.24999872595072,1936-02-01
1936,3,75.69999945908785,1936-03-01
1936,4,147.70000061392784,1936-04-01
1936,5,86.94999981671572,1936-05-01
1936,6,94.3999996483326,1936-06-01
1936,7,13.400000035762787,1936-07-01
1936,8,12.000000193715096,1936-08-01
1936,9,95.85000135749578,1936-09-01
1936,10,78.90000158920884,1936-10-01
1936,11,63.69999987632036,1936-11-01
1936,12,40.39999979734421,1936-12-01
1937,1,121.20000119507313,1937-01-01
1937,2,59.849999628961086,1937-02-01
1937,3,223.85000059008598,1937-03-01
1937,4,115.54999975115061,1937-04-01
1937,5,44.0000002682209,1937-05-01
1937,6,103.84999895095825,1937-06-01
1937,7,17.500000208616257,1937-07-01
1937,8,59.800000078976154,1937-08-01
1937,9,190.94999945163727,1937-09-01
1937,10,152.14999985694885,1937-10-01
1937,11,184.7500010803342,1937-11-01
1937,12,186.04999959096313,1937-12-01
1938,1,66.8499996215105,1938-01-01
1938,2,18.650000251829624,1938-02-01
1938,3,8.00000012665987,1938-03-01
1938,4,44.09999966621399,1938-04-01
1938,5,133.4500008970499,1938-05-01
1938,6,76.85000133514404,1938-06-01
1938,7,8.25000013411045,1938-07-01
1938,8,24.20000022649765,1938-08-01
1938,9,162.95000049471855,1938-09-01
1938,10,278.7999997884035,1938-10-01
1938,11,79.85000012814999,1938-11-01
1938,12,86.74999955296516,1938-12-01
1939,1,74.79999923706055,1939-01-01
1939,2,12.54999989271164,1939-02-01
1939,3,85.84999959170818,1939-03-01
1939,4,47.29999965429306,1939-04-01
1939,5,161.14999867975712,1939-05-01
