year,month,rainfall,date
1928,6,20.0,1928-06-01
1928,7,24.1,1928-07-01
1928,8,24.0,1928-08-01
1928,9,243.5,1928-09-01
1928,10,176.2,1928-10-01
1928,11,243.7,1928-11-01
1928,12,68.2,1928-12-01
1929,1,121.5,1929-01-01
1929,2,2.8,1929-02-01
1929,3,0.0,1929-03-01
1929,4,14.6,1929-04-01
1932,1,65.1,1932-01-01
1932,2,13.5,1932-02-01
1932,3,198.0,1932-03-01
1932,4,48.2,1932-04-01
1932,5,187.5,1932-05-01
1932,6,58.9,1932-06-01
1932,7,143.6,1932-07-01
1932,8,2.9,1932-08-01
1932,9,176.8,1932-09-01
1932,10,158.7,1932-10-01
1932,11,89.7,1932-11-01
1932,12,151.4,1932-12-01
1933,1,150.2,1933-01-01
1933,2,52.8,1933-02-01
1933,3,124.1,1933-03-01
1933,4,46.0,1933-04-01
1933,5,104.7,1933-05-01
1933,6,117.6,1933-06-01
1933,7,15.8,1933-07-01
1933,8,1.0,1933-08-01
1933,9,40.3,1933-09-01
1933,10,219.2,1933-10-01
1933,11,129.0,1933-11-01
1933,12,158.1,1933-12-01
1934,1,97.6,1934-01-01
1934,2,59.8,1934-02-01
1934,3,229.8,1934-03-01
1934,4,109.6,1934-04-01
1934,5,54.2,1934-05-01
1934,6,47.9,1934-06-01
1934,7,4.7,1934-07-01
1934,8,44.3,1934-08-01
1934,9,62.9,1934-09-01
1934,10,201.2,1934-10-01
1934,11,343.5,1934-11-01
1934,12,287.5,1934-12-01
1935,1,71.4,1935-01-01
1935,2,76.4,1935-02-01
1935,3,40.4,1935-03-01
1935,4,74.8,1935-04-01
1935,5,115.4,1935-05-01
1935,6,14.6,1935-06-01
1935,7,10.8,1935-07-01
1935,8,59.6,1935-08-01
1935,9,40.8,1935-09-01
1935,10,239.2,1935-10-01
1935,11,249.8,1935-11-01
1935,12,234.4,1935-12-01
1936,1,260.2,1936-01-01
1936,2,176.2,1936-02-01
1936,3,144.2,1936-03-01
1936,4,211.0,1936-04-01
1936,5,159.6,1936-05-01
1936,6,38.4,1936-06-01
1936,7,37.6,1936-07-01
1936,8,14.0,1936-08-01
1936,9,96.2,1936-09-01
1936,10,146.0,1936-10-01
1936,11,78.2,1936-11-01
1936,12,40.2,1936-12-01
1937,1,189.6,1937-01-01
1937,2,105.4,1937-02-01
1937,3,308.6,1937-03-01
1937,4,150.2,1937-04-01
1937,5,81.6,1937-05-01
1937,6,60.6,1937-06-01
1937,7,22.6,1937-07-01
1937,8,84.8,1937-08-01
1937,9,169.4,1937-09-01
1937,10,193.2,1937-10-01
1937,11,152.0,1937-11-01
1937,12,183.8,1937-12-01
1938,1,67.4,1938-01-01
1938,2,14.6,1938-02-01
1938,3,7.5,1938-03-01
1938,4,46.8,1938-04-01
1938,5,124.8,1938-05-01
1938,6,38.0,1938-06-01
1938,7,10.6,1938-07-01
1938,8,32.4,1938-08-01
1938,9,148.2,1938-09-01
1938,10,104.4,1938-10-01
1938,11,100.8,1938-11-01
1938,12,88.6,1938-12-01
1939,1,231.8,1939-01-01
1939,2,21.0,1939-02-01
1939,3,49.0,1939-03-01
1939,4,60.6,1939-04-01
1939,5,171.0,1939-05-01
1939,6,18.8,1939-06-01
1939,7,4.4,1939-07-01
1939,8,87.2,1939-08-01
1939,9,116.2,1939-09-01
1939,10,214.6,1939-10-01
1939,11,81.2,1939-11-01
1939,12,145.4,1939-12-01
1940,1,23.0,1940-01-01
1940,2,145.0,1940-02-01
1940,3,60.8,1940-03-01
1940,4,13.4,1940-04-01
1940,5,142.6,1940-05-01
1940,6,137.8,1940-06-01
1940,7,68.8,1940-07-01
1940,8,17.4,1940-08-01
1940,9,19.0,1940-09-01
1940,10,179.6,1940-10-01
1940,11,224.2,1940-11-01
1940,12,2.0,1940-12-01
1941,1,187.8,1941-01-01
1941,2,226.6,1941-02-01
1941,3,126.0,1941-03-01
1941,4,148.4,1941-04-01
1941,5,293.2,1941-05-01
1941,6,81.8,1941-06-01
1941,7,21.0,1941-07-01
1941,8,7.0,1941-08-01
1941,9,59.3,1941-09-01
1941,10,105.9,1941-10-01
1941,11,109.9,1941-11-01
1941,12,72.2,1941-12-01
1942,1,59.6,1942-01-01
1942,2,77.6,1942-02-01
1942,3,99.0,1942-03-01
1942,4,82.6,1942-04-01
1942,5,84.0,1942-05-01
1942,6,107.4,1942-06-01
1942,7,30.6,1942-07-01
1942,8,17.0,1942-08-01
1942,9,142.0,1942-09-01
1942,10,96.6,1942-10-01
1942,11,51.2,1942-11-01
1942,12,224.0,1942-12-01
1943,1,126.2,1943-01-01
1943,2,75.2,1943-02-01
1943,3,27.0,1943-03-01
1943,4,37.8,1943-04-01
1943,5,69.7,1943-05-01
1943,6,5.7,1943-06-01
1943,7,34.0,1943-07-01
1943,8,23.8,1943-08-01
1943,9,93.7,1943-09-01
1943,10,91.2,1943-10-01
1943,11,102.0,1943-11-01
1943,12,178.0,1943-12-01
1944,1,63.0,1944-01-01
1944,2,80.4,1944-02-01
1944,3,35.0,1944-03-01
1944,4,33.0,1944-04-01
1944,5,59.4,1944-05-01
1944,6,49.4,1944-06-01
1944,7,41.0,1944-07-01
1944,8,46.8,1944-08-01
1944,9,59.2,1944-09-01
1944,10,151.8,1944-10-01
1944,11,76.4,1944-11-01
1944,12,75.4,1944-12-01
1945,1,65.2,1945-01-01
1945,2,38.8,1945-02-01
1945,3,22.6,1945-03-01
1945,6,0.0,1945-06-01
1945,7,0.0,1945-07-01
1945,8,31.8,1945-08-01
1945,9,14.8,1945-09-01
1945,10,89.8,1945-10-01
