year,month,pioggia,data
1853,10,494.9,1853-10-01
1853,11,159.6,1853-11-01
1853,12,62.9,1853-12-01
1854,1,126.1,1854-01-01
1854,2,0.6,1854-02-01
1854,3,2.0,1854-03-01
1854,4,66.3,1854-04-01
1854,5,65.6,1854-05-01
1854,6,53.3,1854-06-01
1854,7,13.1,1854-07-01
1854,8,25.9,1854-08-01
1854,9,13.1,1854-09-01
1854,10,202.1,1854-10-01
1854,11,129.4,1854-11-01
1854,12,231.7,1854-12-01
1855,1,44.4,1855-01-01
1855,2,246.1,1855-02-01
1855,3,152.0,1855-03-01
1855,4,64.2,1855-04-01
1855,5,68.4,1855-05-01
1855,6,68.5,1855-06-01
1855,7,0.7,1855-07-01
1855,8,29.3,1855-08-01
1855,9,172.2,1855-09-01
1855,10,282.7,1855-10-01
1855,11,133.9,1855-11-01
1855,12,44.0,1855-12-01
1856,1,352.8,1856-01-01
1856,2,96.3,1856-02-01
1856,3,64.1,1856-03-01
1856,4,174.8,1856-04-01
1856,5,134.0,1856-05-01
1856,6,37.0,1856-06-01
1856,7,34.3,1856-07-01
1856,8,42.1,1856-08-01
1856,9,186.3,1856-09-01
1856,10,152.3,1856-10-01
1856,11,60.4,1856-11-01
1856,12,201.6,1856-12-01
1857,1,91.0,1857-01-01
1857,2,34.9,1857-02-01
1857,3,80.1,1857-03-01
1857,4,141.4,1857-04-01
1857,5,82.4,1857-05-01
1857,6,30.5,1857-06-01
1857,7,5.0,1857-07-01
1857,8,49.8,1857-08-01
1857,9,309.6,1857-09-01
1857,10,252.1,1857-10-01
1857,11,88.3,1857-11-01
1857,12,29.5,1857-12-01
1858,1,19.1,1858-01-01
1858,2,17.7,1858-02-01
1858,3,126.0,1858-03-01
1858,4,133.9,1858-04-01
1858,5,46.5,1858-05-01
1858,6,14.4,1858-06-01
1858,7,112.0,1858-07-01
1858,8,94.3,1858-08-01
1858,9,37.0,1858-09-01
1858,10,289.7,1858-10-01
1858,11,245.1,1858-11-01
1858,12,109.3,1858-12-01
1859,1,80.0,1859-01-01
1859,2,107.0,1859-02-01
1859,3,19.5,1859-03-01
1859,4,28.6,1859-04-01
1859,5,155.6,1859-05-01
1859,6,62.8,1859-06-01
1859,7,7.2,1859-07-01
1859,8,61.6,1859-08-01
1859,9,103.1,1859-09-01
1859,10,363.5,1859-10-01
1859,11,99.8,1859-11-01
1859,12,150.6,1859-12-01
1860,1,112.7,1860-01-01
1860,2,33.9,1860-02-01
1860,3,5.9,1860-03-01
1860,4,146.4,1860-04-01
1860,5,94.6,1860-05-01
1860,6,101.7,1860-06-01
1860,7,18.9,1860-07-01
1860,8,2.1,1860-08-01
1860,9,167.7,1860-09-01
1860,10,18.2,1860-10-01
1860,11,289.3,1860-11-01
1860,12,257.0,1860-12-01
1861,1,47.3,1861-01-01
1861,2,223.6,1861-02-01
1861,3,30.0,1861-03-01
1861,4,8.4,1861-04-01
1861,5,7.6,1861-05-01
1861,6,29.6,1861-06-01
1861,7,11.3,1861-07-01
1861,8,4.5,1861-08-01
1861,9,135.6,1861-09-01
1861,10,140.1,1861-10-01
1861,11,70.9,1861-11-01
1861,12,8.6,1861-12-01
1862,1,64.4,1862-01-01
1862,2,92.8,1862-02-01
1862,3,224.3,1862-03-01
1862,4,24.5,1862-04-01
1862,5,91.5,1862-05-01
1862,6,206.8,1862-06-01
1862,7,0.4,1862-07-01
1862,8,60.7,1862-08-01
1862,9,97.8,1862-09-01
1862,10,166.4,1862-10-01
1862,11,306.4,1862-11-01
1862,12,56.6,1862-12-01
1863,1,232.8,1863-01-01
1863,2,9.0,1863-02-01
1863,3,198.8,1863-03-01
1863,4,20.6,1863-04-01
1863,5,91.2,1863-05-01
1863,6,98.9,1863-06-01
1863,7,15.4,1863-07-01
1863,8,10.9,1863-08-01
1863,9,146.8,1863-09-01
1863,10,221.4,1863-10-01
1863,11,74.5,1863-11-01
1863,12,74.4,1863-12-01
1864,1,11.2,1864-01-01
1864,2,122.5,1864-02-01
1864,3,56.9,1864-03-01
1864,4,42.1,1864-04-01
1864,5,30.7,1864-05-01
1864,6,46.2,1864-06-01
1864,7,3.1,1864-07-01
1864,8,89.8,1864-08-01
1864,9,25.0,1864-09-01
1864,10,410.0,1864-10-01
1864,11,161.2,1864-11-01
1864,12,204.1,1864-12-01
1865,1,47.4,1865-01-01
1865,2,49.1,1865-02-01
1865,3,161.5,1865-03-01
1865,4,6.8,1865-04-01
1865,5,25.1,1865-05-01
1865,6,24.8,1865-06-01
1865,7,21.2,1865-07-01
1865,8,86.3,1865-08-01
1865,9,3.6,1865-09-01
1865,10,425.9,1865-10-01
1865,11,258.0,1865-11-01
1865,12,158.9,1865-12-01
1866,1,45.9,1866-01-01
1866,2,188.0,1866-02-01
1866,3,295.1,1866-03-01
1866,4,285.8,1866-04-01
1866,5,95.6,1866-05-01
1866,6,28.2,1866-06-01
1866,7,7.3,1866-07-01
1866,8,44.9,1866-08-01
1866,9,75.1,1866-09-01
1866,10,53.0,1866-10-01
1866,11,21.1,1866-11-01
1866,12,9.4,1866-12-01
1867,1,230.2,1867-01-01
1867,2,220.2,1867-02-01
1867,3,196.9,1867-03-01
1867,4,58.8,1867-04-01
1867,5,86.3,1867-05-01
1867,6,5.0,1867-06-01
1867,7,49.1,1867-07-01
1867,8,114.1,1867-08-01
1867,9,134.2,1867-09-01
1867,10,144.3,1867-10-01
1867,11,277.2,1867-11-01
1867,12,50.9,1867-12-01
1868,1,34.7,1868-01-01
1868,2,33.9,1868-02-01
1868,3,84.8,1868-03-01
1868,4,45.8,1868-04-01
1868,5,26.1,1868-05-01
1868,6,20.8,1868-06-01
1868,7,71.3,1868-07-01
1868,8,126.1,1868-08-01
1868,9,423.4,1868-09-01
1868,10,204.3,1868-10-01
1868,11,360.2,1868-11-01
1868,12,225.2,1868-12-01
1869,1,76.3,1869-01-01
1869,2,105.6,1869-02-01
1869,3,119.2,1869-03-01
1869,4,23.3,1869-04-01
1869,5,41.4,1869-05-01
1869,6,50.7,1869-06-01
1869,7,7.0,1869-07-01
1869,8,14.2,1869-08-01
1869,9,107.5,1869-09-01
1869,10,61.1,1869-10-01
1869,11,117.3,1869-11-01
1869,12,184.8,1869-12-01
1870,1,81.3,1870-01-01
1870,2,148.1,1870-02-01
1870,3,51.9,1870-03-01
1870,4,6.0,1870-04-01
1870,5,31.6,1870-05-01
1870,6,118.4,1870-06-01
1870,7,7.5,1870-07-01
1870,8,284.2,1870-08-01
1870,9,12.7,1870-09-01
1870,10,61.6,1870-10-01
1870,11,381.8,1870-11-01
1870,12,166.1,1870-12-01
1871,1,113.7,1871-01-01
1871,2,48.0,1871-02-01
1871,3,37.4,1871-03-01
1871,4,48.6,1871-04-01
1871,5,81.2,1871-05-01
1871,6,54.3,1871-06-01
1871,7,2.5,1871-07-01
