year,month,rainfall,date
1911,12,98.6,1911-12-01
1912,1,180.8,1912-01-01
1912,2,297.2,1912-02-01
1912,3,127.6,1912-03-01
1912,4,72.9,1912-04-01
1912,5,77.9,1912-05-01
1912,6,78.3,1912-06-01
1912,7,44.0,1912-07-01
1912,8,180.7,1912-08-01
1912,9,93.0,1912-09-01
1912,10,169.8,1912-10-01
1913,1,107.6,1913-01-01
1913,2,17.5,1913-02-01
1913,3,157.5,1913-03-01
1913,4,206.1,1913-04-01
1913,5,25.0,1913-05-01
1913,6,70.2,1913-06-01
1913,7,29.2,1913-07-01
1913,8,9.9,1913-08-01
1913,9,216.5,1913-09-01
1913,10,137.5,1913-10-01
1913,11,106.5,1913-11-01
1913,12,31.0,1913-12-01
1914,1,35.2,1914-01-01
1914,2,159.2,1914-02-01
1914,3,236.0,1914-03-01
1914,4,26.1,1914-04-01
1914,5,125.9,1914-05-01
1914,6,81.1,1914-06-01
1914,7,33.3,1914-07-01
1914,8,34.4,1914-08-01
1914,9,93.4,1914-09-01
1914,10,545.0,1914-10-01
1914,11,49.5,1914-11-01
1914,12,221.5,1914-12-01
1915,1,216.0,1915-01-01
1915,2,295.8,1915-02-01
1915,3,188.9,1915-03-01
1915,4,55.3,1915-04-01
1915,5,103.2,1915-05-01
1915,6,183.0,1915-06-01
1915,7,14.2,1915-07-01
1915,8,7.9,1915-08-01
1915,9,68.0,1915-09-01
1915,10,43.6,1915-10-01
1915,11,175.1,1915-11-01
1915,12,298.2,1915-12-01
1928,1,128.6,1928-01-01
1928,2,35.8,1928-02-01
1928,3,246.8,1928-03-01
1928,4,97.5,1928-04-01
1928,5,70.8,1928-05-01
1928,6,29.2,1928-06-01
1928,7,50.3,1928-07-01
1928,8,9.4,1928-08-01
1928,9,210.8,1928-09-01
1928,10,175.5,1928-10-01
1928,11,204.9,1928-11-01
1928,12,71.4,1928-12-01
1929,1,149.2,1929-01-01
1929,3,0.0,1929-03-01
1929,4,90.3,1929-04-01
1929,5,70.0,1929-05-01
1929,6,7.7,1929-06-01
1929,7,4.2,1929-07-01
1929,8,26.5,1929-08-01
1929,9,61.8,1929-09-01
1929,10,144.7,1929-10-01
1929,11,141.0,1929-11-01
1929,12,217.3,1929-12-01
1930,1,303.7,1930-01-01
1930,2,81.6,1930-02-01
1930,3,224.6,1930-03-01
1930,4,247.6,1930-04-01
1930,5,227.3,1930-05-01
1930,6,82.8,1930-06-01
1930,7,46.5,1930-07-01
1930,8,62.1,1930-08-01
1930,9,88.8,1930-09-01
1930,10,190.7,1930-10-01
1930,11,131.8,1930-11-01
1930,12,205.1,1930-12-01
1931,1,144.8,1931-01-01
1931,2,143.5,1931-02-01
1931,3,99.9,1931-03-01
1931,4,57.6,1931-04-01
1931,5,258.6,1931-05-01
1931,6,17.5,1931-06-01
1931,7,11.7,1931-07-01
1931,8,23.2,1931-08-01
1931,9,80.9,1931-09-01
1931,10,366.2,1931-10-01
1931,11,499.9,1931-11-01
1931,12,24.2,1931-12-01
1932,1,84.7,1932-01-01
1932,2,32.1,1932-02-01
1932,3,297.5,1932-03-01
1932,4,57.9,1932-04-01
1932,5,196.1,1932-05-01
1932,6,91.0,1932-06-01
1932,7,157.8,1932-07-01
1932,8,18.0,1932-08-01
1932,9,99.3,1932-09-01
1932,10,192.1,1932-10-01
1932,11,126.9,1932-11-01
1932,12,177.2,1932-12-01
1933,1,215.0,1933-01-01
1933,2,69.5,1933-02-01
1933,3,296.0,1933-03-01
1933,4,48.1,1933-04-01
1933,5,149.4,1933-05-01
1933,6,107.0,1933-06-01
1933,7,12.6,1933-07-01
1933,8,0.0,1933-08-01
1933,9,51.1,1933-09-01
1933,10,242.0,1933-10-01
1933,11,161.7,1933-11-01
1933,12,112.5,1933-12-01
1934,1,134.4,1934-01-01
1934,2,102.3,1934-02-01
1934,3,238.9,1934-03-01
1934,4,118.3,1934-04-01
1934,5,138.2,1934-05-01
1934,6,42.9,1934-06-01
1934,7,12.0,1934-07-01
1934,8,92.9,1934-08-01
1934,9,192.0,1934-09-01
1934,10,135.5,1934-10-01
1934,11,340.2,1934-11-01
1934,12,286.5,1934-12-01
1935,1,58.9,1935-01-01
1935,2,92.1,1935-02-01
1935,3,55.2,1935-03-01
1935,4,74.3,1935-04-01
1935,5,169.1,1935-05-01
1935,6,18.1,1935-06-01
1935,7,1.6,1935-07-01
1935,8,103.3,1935-08-01
1935,9,36.4,1935-09-01
1935,10,386.4,1935-10-01
1935,11,207.4,1935-11-01
1935,12,335.9,1935-12-01
1936,1,448.5,1936-01-01
1936,2,394.4,1936-02-01
1936,3,250.6,1936-03-01
1936,4,299.8,1936-04-01
1936,5,184.9,1936-05-01
1936,6,40.7,1936-06-01
1936,7,29.9,1936-07-01
1936,8,24.8,1936-08-01
1936,9,136.0,1936-09-01
1936,10,121.2,1936-10-01
1936,11,142.8,1936-11-01
1936,12,80.8,1936-12-01
1937,1,284.5,1937-01-01
1937,2,152.0,1937-02-01
1937,3,346.3,1937-03-01
1937,4,113.0,1937-04-01
1937,5,98.0,1937-05-01
1937,6,112.5,1937-06-01
1937,7,11.1,1937-07-01
1937,8,128.7,1937-08-01
1937,9,209.4,1937-09-01
1937,10,201.3,1937-10-01
1937,11,200.6,1937-11-01
1937,12,199.1,1937-12-01
1938,1,95.4,1938-01-01
1938,2,26.8,1938-02-01
1938,3,12.6,1938-03-01
1938,4,64.9,1938-04-01
1938,5,144.5,1938-05-01
1938,6,39.9,1938-06-01
1938,7,2.7,1938-07-01
1938,8,61.2,1938-08-01
1938,9,196.5,1938-09-01
1938,10,160.4,1938-10-01
1938,11,126.7,1938-11-01
