year,month,rainfall,date
1869,9,63.1,1869-09-01
1869,10,148.9,1869-10-01
1869,11,107.0,1869-11-01
1869,12,442.8,1869-12-01
1870,1,101.0,1870-01-01
1870,2,84.6,1870-02-01
1870,3,38.2,1870-03-01
1870,4,0.9,1870-04-01
1870,5,104.6,1870-05-01
1870,6,117.2,1870-06-01
1870,7,11.0,1870-07-01
1870,8,155.9,1870-08-01
1870,9,14.0,1870-09-01
1870,10,114.5,1870-10-01
1870,11,289.2,1870-11-01
1870,12,331.4,1870-12-01
1871,1,188.0,1871-01-01
1871,2,22.4,1871-02-01
1871,3,62.1,1871-03-01
1871,4,34.8,1871-04-01
1871,5,49.1,1871-05-01
1871,6,178.4,1871-06-01
1871,7,0.0,1871-07-01
1871,8,18.8,1871-08-01
1871,9,65.3,1871-09-01
1871,10,14.9,1871-10-01
1871,11,213.6,1871-11-01
1871,12,36.5,1871-12-01
1872,1,100.5,1872-01-01
1872,2,80.1,1872-02-01
1872,3,103.2,1872-03-01
1872,4,126.9,1872-04-01
1872,5,60.2,1872-05-01
1872,6,63.7,1872-06-01
1872,7,94.8,1872-07-01
1872,8,94.0,1872-08-01
1872,9,45.7,1872-09-01
1872,10,399.8,1872-10-01
1872,11,84.1,1872-11-01
1872,12,219.0,1872-12-01
1873,1,188.8,1873-01-01
1873,2,71.1,1873-02-01
1873,3,85.0,1873-03-01
1873,4,115.0,1873-04-01
1873,5,37.0,1873-05-01
1873,6,99.9,1873-06-01
1873,7,8.4,1873-07-01
1873,8,52.0,1873-08-01
1873,9,113.4,1873-09-01
1873,10,176.6,1873-10-01
1873,11,128.9,1873-11-01
1873,12,25.5,1873-12-01
1874,1,42.2,1874-01-01
1874,2,81.7,1874-02-01
1874,3,25.5,1874-03-01
1874,4,89.6,1874-04-01
1874,5,93.7,1874-05-01
1874,6,15.3,1874-06-01
1874,7,65.7,1874-07-01
1874,8,30.9,1874-08-01
1874,9,70.7,1874-09-01
1874,10,137.6,1874-10-01
1874,11,16.2,1874-11-01
1874,12,313.8,1874-12-01
1875,1,67.9,1875-01-01
1875,2,52.2,1875-02-01
1875,3,42.8,1875-03-01
1875,4,68.1,1875-04-01
1875,5,11.3,1875-05-01
1875,6,87.3,1875-06-01
1875,7,61.9,1875-07-01
1875,8,64.7,1875-08-01
1875,9,26.1,1875-09-01
1875,10,191.8,1875-10-01
1875,11,68.2,1875-11-01
1875,12,124.6,1875-12-01
1876,1,66.3,1876-01-01
1876,2,55.0,1876-02-01
1876,3,74.0,1876-03-01
1876,4,76.0,1876-04-01
1876,5,73.4,1876-05-01
