year	month	rainfall
1947	Nov	120
1947	Dec	235
1948	Jan	454
1948	Feb	49
1948	Mar	
1948	Apr	182
1948	May	268
1948	Jun	107
1948	Jul	98
1948	Aug	113
1948	Sep	79
1948	Oct	375
1948	Nov	139
1948	Dec	157
1949	Jan	158
1949	Feb	
1949	Mar	
1949	Apr	130
1949	May	190
1949	Jun	76
1949	Jul	5
1949	Aug	0
1949	Sep	68
1949	Oct	381
1949	Nov	455
1949	Dec	144
1950	Jan	89
1950	Feb	417
1950	Mar	45
1950	Apr	248
1950	May	80
1950	Jun	77
1950	Jul	0
1950	Aug	59
1950	Sep	98
1950	Oct	109
1950	Nov	384
1950	Dec	228
1951	Jan	324
1951	Feb	542
1951	Mar	276
1951	Apr	66
1951	May	135
1951	Jun	46
1951	Jul	56
1951	Aug	19
1951	Sep	53
1951	Oct	156
1951	Nov	565
1951	Dec	184
1952	Jan	136
1952	Feb	114
1952	Mar	71
1952	Apr	115
1952	May	107
1952	Jun	14
1952	Jul	190
1952	Aug	440
1952	Sep	149
1952	Oct	350
1952	Nov	173
1952	Dec	307
1953	Jan	26
1953	Feb	36
1953	Mar	8
1953	Apr	140
1953	May	62
1953	Jun	115
1953	Jul	67
1953	Aug	40
1953	Sep	227
1953	Oct	298
1953	Nov	54
1953	Dec	261
1954	Jan	107
1954	Feb	136
1954	Mar	178
1954	Apr	228
1954	May	216
1954	Jun	91
1954	Jul	82
1954	Aug	144
1954	Sep	51
1954	Oct	325
1954	Nov	270
1954	Dec	325
1955	Jan	194
1955	Feb	269
1955	Mar	155
1955	Apr	0
1955	May	121
1955	Jun	65
1955	Jul	73
1955	Aug	100
1955	Sep	61
1955	Oct	195
1955	Nov	126
1955	Dec	284
1956	Jan	234
1956	Feb	15
1956	Mar	211
1956	Apr	282
1956	May	40
1956	Jun	48
1956	Jul	87
1956	Aug	20
1956	Sep	114
1956	Oct	80
1956	Nov	127
1956	Dec	69
1957	Jan	163
1957	Feb	252
1957	Mar	81
1957	Apr	173
1957	May	176
1957	Jun	60
1957	Jul	84
1957	Aug	17
1957	Sep	38
1957	Oct	101
1957	Nov	400
1957	Dec	251
1958	Jan	94
1958	Feb	155
1958	Mar	123
1958	Apr	216
1958	May	54
1958	Jun	80
1958	Jul	54
1958	Aug	103
1958	Sep	125
1958	Oct	206
1958	Nov	109
1958	Dec	447
1959	Jan	124
1959	Feb	17
1959	Mar	168
1959	Apr	299
1959	May	99
1959	Jun	133
1959	Jul	10
1959	Aug	95
1959	Sep	58
1959	Oct	285
1959	Nov	430
1959	Dec	533
1960	Jan	160
1960	Feb	496
1960	Mar	307
1960	Apr	30
1960	May	9
1960	Jun	123
1960	Jul	84
1960	Aug	104
1960	Sep	295
1960	Oct	684
1960	Nov	535
1960	Dec	363
1961	Jan	338.0
1961	Feb	48.0
1961	Mar 	45.0
1961	Apr	240.0
1961	May	128.0
1961	Jun	122.5
1961	Jul	54.0
1961	Aug	30.5
1961	Sep	93.5
1961	Oct	307.1
1961	Nov	436.7
1961	Dec	171.0
1962	Jan	170.0
1962	Feb	130.6
1962	Mar 	260.0
1962	Apr	260.5
1962	May	99.6
1962	Jun	53.5
1962	Jul	40.3
1962	Aug	0.0
1962	Sep	64.0
1962	Oct	167.7
1962	Nov	351.5
1962	Dec	175.8
1963	Jan	259.2
1963	Feb	237.2
1963	Mar 	291.1
1963	Apr	255.5
1963	May	70.3
1963	Jun	231.9
1963	Jul	113.7
1963	Aug	120.7
1963	Sep	178.5
1963	Oct	95.6
1963	Nov	352.4
1963	Dec	126.8
1964	Jan	35.0
1964	Feb	333.2
1964	Mar 	304.2
1964	Apr	205.7
1964	May	42.1
1964	Jun	36.1
1964	Jul	95.3
1964	Aug	55.8
1964	Sep	18.4
1964	Oct	430.6
1964	Nov	87.2
1964	Dec	203.8
1965	Jan	194.4
1965	Feb	11.6
1965	Mar 	263.2
1965	Apr	67.4
1965	May	83.4
1965	Jun	102.0
1965	Jul	44.2
1965	Aug	136.0
1965	Sep	317.4
1965	Oct	89.5
1965	Nov	292.4
1965	Dec	250.6
1966	Jan	107.6
1966	Feb	180.0
1966	Mar 	17.4
1966	Apr	212.6
1966	May	57.2
1966	Jun	25.0
1966	Jul	25.6
1966	Aug	82.0
1966	Sep	109.6
1966	Oct	585.6
1966	Nov	396.2
1966	Dec	201.8
1967	Jan	110.2
1967	Feb	150.8
1967	Mar 	118.0
1967	Apr	59.6
1967	May	59.2
1967	Jun	89.0
1967	Jul	12.8
1967	Aug	95.2
1967	Sep	61.0
1967	Oct	44.0
1967	Nov	338.8
1967	Dec	120.0
1968	Jan	62.8
1968	Feb	528.6
1968	Mar 	74.6
1968	Apr	77.0
1968	May	81.4
1968	Jun	71.4
1968	Jul	135.2
1968	Aug	140.0
1968	Sep	158.4
1968	Oct	242.4
1968	Nov	396.8
1968	Dec	163.6
1969	Jan	307.2
1969	Feb	190.0
1969	Mar 	138.0
1969	Apr	121.6
1969	May	48.4
1969	Jun	42.2
1969	Jul	21.8
1969	Aug	45.0
1969	Sep	207.2
1969	Oct	0.8
1969	Nov	176.2
1969	Dec	34.6
1970	Jan	426.2
1970	Feb	53.0
1970	Mar 	203.8
1970	Apr	57.6
1970	May	127.0
1970	Jun	29.8
1970	Jul	17.0
1970	Aug	93.8
1970	Sep	5.2
1970	Oct	15.6
1970	Nov	298.4
1970	Dec	180.0
1971	Jan	256.3
1971	Feb	124.2
1971	Mar 	147.2
1971	Apr	140.4
1971	May	
1971	Jun	78.2
1971	Jul	22.8
1971	Aug	47.5
1971	Sep	46.2
1971	Oct	48.0
1971	Nov	230.2
1971	Dec	74.2
1972	Jan	201.0
1972	Feb	234.4
1972	Mar 	136.6
1972	Apr	93.4
1972	May	137.2
1972	Jun	103.0
1972	Jul	26.2
1972	Aug	56.8
1972	Sep	275.2
1972	Oct	191.4
1972	Nov	139.4
1972	Dec	227.0
1973	Jan	156.4
1973	Feb	89.4
1973	Mar 	58.6
1973	Apr	91.2
1973	May	25.6
1973	Jun	113.8
1973	Jul	43.6
1973	Aug	52.8
1973	Sep	173.2
1973	Oct	112.6
1973	Nov	34.8
1973	Dec	203.4
1974	Jan	142.4
1974	Feb	217.4
1974	Mar 	139.6
1974	Apr	183.8
1974	May	77.2
1974	Jun	106.2
1974	Jul	10.0
1974	Aug	42.2
1974	Sep	156.0
1974	Oct	141.0
1974	Nov	159.8
1974	Dec	45.2
1975	Jan	288.4
1975	Feb	167.8
1975	Mar 	269.8
1975	Apr	207.8
1975	May	183.2
1975	Jun	62.2
1975	Jul	34.8
1975	Aug	77.6
1975	Sep	110.0
1975	Oct	128.4
1975	Nov	181.4
1975	Dec	206.2
1976	Jan	30.0
1976	Feb	44.8
1976	Mar 	59.6
1976	Apr	81.4
1976	May	70.6
1976	Jun	5.2
1976	Jul	52.8
1976	Aug	87.0
1976	Sep	171.6
1976	Oct	378.8
1976	Nov	283.2
1976	Dec	340.0
1977	Jan	533.4
1977	Feb	355.2
1977	Mar 	189.2
1977	Apr	86.8
1977	May	220.6
1977	Jun	57.2
1977	Jul	95.6
1977	Aug	245.2
1977	Sep	40.2
1977	Oct	236.0
1977	Nov	125.2
1977	Dec	126.4
1978	Jan	265.6
1978	Feb	252.2
1978	Mar 	94.4
1978	Apr	196.0
1978	May	165.2
1978	Jun	156.6
1978	Jul	91.4
1978	Aug	30.0
1978	Sep	7.8
1978	Oct	69.6
1978	Nov	23.4
1978	Dec	100.8
1979	Jan	400.8
1979	Feb	166.8
1979	Mar 	342.6
1979	Apr	48.6
1979	May	0.2
1979	Jun	32.4
1979	Jul	0.4
1979	Aug	111.6
1979	Sep	244.2
1979	Oct	344.4
1979	Nov	121.2
1979	Dec	241.0
1980	Jan	129.8
1980	Feb	73.6
1980	Mar 	190.2
1980	Apr	78.4
1980	May	186.2
