year	month	rainfall
1948	Jun	34
1948	Jul	52
1948	Aug	50
1948	Sep	131
1948	Oct	239
1948	Nov	72
1948	Dec	137
1949	Jan	108
1949	Feb	11
1949	Mar	152
1949	Apr	55
1949	May	122
1949	Jun	123
1949	Jul	2
1949	Aug	19
1949	Sep	150
1949	Oct	393
1949	Nov	465
1949	Dec	101
1950	Jan	30
1950	Feb	221
1950	Mar	59
1950	Apr	166
1950	May	43
1950	Jun	67
1950	Jul	0
1950	Aug	117
1950	Sep	114
1950	Oct	138
1950	Nov	190
1950	Dec	199
1951	Jan	266
1951	Feb	373
1951	Mar	195
1951	Apr	40
1951	May	12
1951	Jun	26
1951	Jul	16
1951	Aug	40
1951	Sep	60
1951	Oct	140
1951	Nov	193
1951	Dec	177
1952	Jan	112
1952	Feb	90
1952	Mar	40
1952	Apr	101
1952	May	74
1952	Jun	22
1952	Jul	119
1952	Aug	258
1952	Sep	190
1952	Oct	284
1952	Nov	262
1952	Dec	231
1953	Jan	31
1953	Feb	47
1953	Mar	16
1953	Apr	82
1953	May	62
1953	Jun	73
1953	Jul	62
1953	Aug	24
1953	Sep	26
1953	Oct	319
1953	Nov	35
1953	Dec	181
1954	Jan	96
1954	Feb	110
1954	Mar	114
1954	Apr	166
1954	May	107
1954	Jun	35
1954	Jul	56
1954	Aug	115
1954	Sep	49
1954	Oct	483
1954	Nov	225
1954	Dec	178
1955	Jan	139
1955	Feb	236
1955	Mar	85
1955	Apr	4
1955	May	73
1955	Jun	54
1955	Jul	39
1955	Aug	12
1955	Sep	60
1955	Oct	120
1955	Nov	124
1955	Dec	251
1956	Jan	160
1956	Feb	48
1956	Mar	77
1956	Apr	213
1956	May	57
1956	Jun	60
1956	Jul	25
1956	Aug	11
1956	Sep	82
1956	Oct	71
1956	Nov	110
1956	Dec	96
1957	Jan	136
1957	Feb	149
1957	Mar	68
1957	Apr	122
1957	May	120
1957	Jun	47
1957	Jul	59
1957	Aug	13
1957	Sep	40
1957	Oct	75
1957	Nov	227
1957	Dec	157
1958	Jan	92
1958	Feb	54
1958	Mar	83
1958	Apr	118
1958	May	34
1958	Jun	84
1958	Jul	25
1958	Aug	45
1958	Sep	79
1958	Oct	118
1958	Nov	75
1958	Dec	319
1959	Jan	76
1959	Feb	20
1959	Mar	75
1959	Apr	105
1959	May	65
1959	Jun	27
1959	Jul	55
1959	Aug	157
1959	Sep	61
1959	Oct	186
1959	Nov	210
1959	Dec	365
1960	Jan	73
1960	Feb	243
1960	Mar	195
1960	Apr	40
1960	May	7
1960	Jun	89
1960	Jul	52
1960	Aug	21
1960	Sep	177
1960	Oct	239
1960	Nov	284
1960	Dec	175
1961	Jan	198.8
1961	Feb	38.8
1961	Mar 	52.0
1961	Apr	102.2
1961	May	87.6
1961	Jun	101.4
1961	Jul	20.0
1961	Aug	9.8
1961	Sep	70.2
1961	Oct	262.2
1961	Nov	282.4
1961	Dec	111.0
1962	Jan	75.2
1962	Feb	54.8
1962	Mar 	136.0
1962	Apr	147.6
1962	May	59.6
1962	Jun	22.8
1962	Jul	14.0
1962	Aug	0.6
1962	Sep	98.6
1962	Oct	132.8
1962	Nov	210.6
1962	Dec	100.8
1963	Jan	182.4
1963	Feb	100.4
1963	Mar 	133.0
1963	Apr	108.2
1963	May	30.2
1963	Jun	69.4
1963	Jul	35.8
1963	Aug	124.2
1963	Sep	205.4
1963	Oct	85.8
1963	Nov	248.0
1963	Dec	86.2
1964	Jan	32.0
1964	Feb	202.4
1964	Mar 	178.2
1964	Apr	154.4
1964	May	32.8
1964	Jun	126.2
1964	Jul	72.5
1964	Aug	33.8
1964	Sep	16.2
1964	Oct	319.2
1964	Nov	56.8
1964	Dec	193.0
1965	Jan	118.8
1965	Feb	5.4
1965	Mar 	203.6
1965	Apr	23.8
1965	May	33.0
1965	Jun	50.4
1965	Jul	4.2
1965	Aug	80.6
1965	Sep	189.2
1965	Oct	46.4
1965	Nov	204.0
1965	Dec	170.8
1966	Jan	81.2
1966	Feb	125.7
1966	Mar 	30.6
1966	Apr	118.6
1966	May	47.2
1966	Jun	44.8
1966	Jul	63.8
1966	Aug	60.4
1966	Sep	116.4
1966	Oct	540.8
1966	Nov	257.8
1966	Dec	164.6
1967	Jan	110.6
1967	Feb	54.4
1967	Mar 	94.2
1967	Apr	71.8
1967	May	49.2
1967	Jun	68.8
1967	Jul	5.8
1967	Aug	51.2
1967	Sep	163.2
1967	Oct	42.4
1967	Nov	165.0
1967	Dec	81.8
1968	Jan	56.6
1968	Feb	421.4
1968	Mar 	43.4
1968	Apr	91.2
1968	May	127.8
1968	Jun	76.6
1968	Jul	109.8
1968	Aug	82.4
1968	Sep	151.0
1968	Oct	271.0
1968	Nov	371.6
1968	Dec	166.8
1969	Jan	285.8
1969	Feb	198.0
1969	Mar 	106.4
1969	Apr	73.4
1969	May	53.0
1969	Jun	64.4
1969	Jul	5.8
1969	Aug	17.6
1969	Sep	275.2
1969	Oct	3.4
1969	Nov	225.0
1969	Dec	59.6
1970	Jan	296.2
1970	Feb	54.0
1970	Mar 	184.8
1970	Apr	31.6
1970	May	112.8
1970	Jun	37.4
1970	Jul	9.0
1970	Aug	97.0
1970	Sep	2.0
1970	Oct	65.6
1970	Nov	160.8
1970	Dec	127.6
1971	Jan	201.8
1971	Feb	59.6
1971	Mar 	191.8
1971	Apr	130.4
1971	May	233.4
1971	Jun	60.6
1971	Jul	5.0
1971	Aug	5.8
1971	Sep	122.8
1971	Oct	31.8
1971	Nov	208.8
1971	Dec	52.2
1972	Jan	134.8
1972	Feb	245.0
1972	Mar 	97.8
1972	Apr	62.4
1972	May	117.6
1972	Jun	85.2
1972	Jul	34.0
1972	Aug	25.0
1972	Sep	195.2
1972	Oct	149.8
1972	Nov	118.0
1972	Dec	149.0
1973	Jan	151.4
1973	Feb	111.0
1973	Mar 	45.8
1973	Apr	71.8
1973	May	22.2
1973	Jun	114.0
1973	Jul	18.2
1973	Aug	30.8
1973	Sep	125.2
1973	Oct	80.8
1973	Nov	57.6
1973	Dec	122.2
1974	Jan	117.6
1974	Feb	162.8
1974	Mar 	105.8
1974	Apr	186.4
1974	May	47.4
1974	Jun	82.2
1974	Jul	10.0
1974	Aug	10.0
1974	Sep	87.4
1974	Oct	136.0
1974	Nov	96.8
1974	Dec	23.2
1975	Jan	173.2
1975	Feb	120.6
1975	Mar 	205.4
1975	Apr	128.2
1975	May	148.6
1975	Jun	58.0
1975	Jul	1.2
1975	Aug	67.0
1975	Sep	98.6
1975	Oct	110.6
1975	Nov	155.2
1975	Dec	177.0
1976	Jan	39.4
1976	Feb	67.4
1976	Mar 	53.2
1976	Apr	36.0
1976	May	66.6
1976	Jun	5.8
1976	Jul	57.0
1976	Aug	82.6
1976	Sep	164.4
1976	Oct	150.8
1976	Nov	137.6
1976	Dec	72.6
1977	Jan	374.6
1977	Feb	186.6
1977	Mar 	137.4
1977	Apr	40.6
1977	May	136.6
1977	Jun	51.4
1977	Jul	29.8
1977	Aug	215.2
1977	Sep	43.0
1977	Oct	172.2
1977	Nov	113.4
1977	Dec	148.6
1978	Jan	193.0
1978	Feb	226.6
1978	Mar 	82.8
1978	Apr	168.8
1978	May	137.0
1978	Jun	76.0
1978	Jul	30.6
1978	Aug	40.4
1978	Sep	6.8
1978	Oct	105.0
1978	Nov	9.8
1978	Dec	235.4
1979	Jan	415.2
1979	Feb	192.0
1979	Mar 	76.0
1979	Apr	114.8
1979	May	5.2
1979	Jun	41.6
1979	Jul	2.2
1979	Aug	87.6
1979	Sep	223.6
1979	Oct	254.8
1979	Nov	113.8
1979	Dec	190.8
1980	Jan	117.2
1980	Feb	76.6
1980	Mar 	200.8
1980	Apr	54.0
1980	May	78.8
1980	Jun	78.2
1980	Jul	18.4
1980	Aug	40.4
1980	Sep	7.8
1980	Oct	431.2
1980	Nov	186.8
1980	Dec	49.8
1981	Jan	11.5
1981	Feb	8.0
1981	Mar 	14.4
1981	Apr	5.4
1981	May	89.8
1981	Jun	35.6
1981	Jul	52.4
1981	Aug	11.0
1981	Sep	138.0
1981	Oct	209.2
1981	Nov	8.6
1981	Dec	171.6
1982	Jan	91.4
1982	Feb	37.4
1982	Mar 	53.6
1982	Apr	1.8
1982	May	35.8
1982	Jun	15.6
1982	Jul	22.0
1982	Aug	5.6
1982	Sep	
1982	Oct	225.0
1982	Nov	262.2
1982	Dec	186.0
1983	Jan	17.8
1983	Feb	137.6
1983	Mar 	168.8
1983	Apr	134.8
1983	May	61.2
1983	Jun	50.4
1983	Jul	40.0
1983	Aug	87.4
1983	Sep	38.8
1983	Oct	106.2
1983	Nov	44.0
1983	Dec	263.6
1984	Jan	
1984	Feb	
1984	Mar 	
1984	Apr	
1984	May	
1984	Jun	
1984	Jul	
1984	Aug	
1984	Sep	
1984	Oct	
1984	Nov	
1984	Dec	
1985	Jan	143.8
1985	Feb	54.2
1985	Mar 	205.4
1985	Apr	19.4
1985	May	88.0
1985	Jun	68.0
1985	Jul	2.8
1985	Aug	29.0
1985	Sep	80.6
1985	Oct	12.2
1985	Nov	112.6
1985	Dec	67.4
1986	Jan	91.6
1986	Feb	171.4
1986	Mar 	125.4
1986	Apr	128.6
1986	May	2.4
1986	Jun	38.0
1986	Jul	86.0
1986	Aug	3.8
1986	Sep	79.6
1986	Oct	46.2
1986	Nov	249.2
1986	Dec	75.8
1987	Jan	159.6
1987	Feb	156.8
1987	Mar 	60.4
1987	Apr	88.2
1987	May	50.4
1987	Jun	102.6
1987	Jul	24.4
1987	Aug	59.2
1987	Sep	10.8
1987	Oct	258.6
1987	Nov	164.2
1987	Dec	99.2
1988	Jan	197.2
1988	Feb	143.6
1988	Mar 	54.8
1988	Apr	84.4
1988	May	145.4
1988	Jun	55.0
1988	Jul	63.0
1988	Aug	6.2
1988	Sep	35.4
1988	Oct	139.4
1988	Nov	19.8
1988	Dec	63.8
1989	Jan	9.4
1989	Feb	98.6
1989	Mar 	44.4
1989	Apr	342.2
1989	May	18.2
1989	Jun	45.6
1989	Jul	31.8
1989	Aug	41.0
1989	Sep	76.2
1989	Oct	27.8
1989	Nov	128.0
1989	Dec	85.4
1990	Jan	82.2
1990	Feb	44.0
1990	Mar 	27.8
1990	Apr	217.4
1990	May	22.2
1990	Jun	50.2
1990	Jul	38.2
1990	Aug	91.8
1990	Sep	58.2
1990	Oct	305.2
1990	Nov	110.8
1990	Dec	145.6
1991	Jan	70.0
1991	Feb	55.6
1991	Mar 	47.2
1991	Apr	25.4
1991	May	34.4
1991	Jun	91.8
1991	Jul	11.2
1991	Aug	23.4
1991	Sep	80.2
1991	Oct	316.2
1991	Nov	196.8
1991	Dec	13.4
1992	Jan	46.2
1992	Feb	62.4
1992	Mar 	20.4
1992	Apr	188.8
1992	May	14.2
1992	Jun	184.6
1992	Jul	78.4
1992	Aug	156.6
1992	Sep	92.6
1992	Oct	418.2
1992	Nov	92.4
1992	Dec	166.2
1993	Jan	16.6
1993	Feb	6.8
1993	Mar 	68.0
1993	Apr	67.2
1993	May	75.0
1993	Jun	33.0
1993	Jul	11.2
1993	Aug	52.0
1993	Sep	283.4
1993	Oct	270.0
1993	Nov	133.2
1993	Dec	
1994	Jan	128.0
1994	Feb	92.6
1994	Mar 	8.0
1994	Apr	153.0
1994	May	82.4
1994	Jun	40.8
1994	Jul	11.6
1994	Aug	7.0
1994	Sep	274.6
1994	Oct	99.2
1994	Nov	308.8
1994	Dec	179.2
1995	Jan	130.6
1995	Feb	190.6
1995	Mar 	94.4
1995	Apr	77.0
1995	May	158.0
1995	Jun	151.4
1995	Jul	4.0
1995	Aug	47.8
1995	Sep	169.2
1995	Oct	109.4
1995	Nov	78.0
1995	Dec	223.6
1996	Jan	225.4
1996	Feb	212.6
1996	Mar 	46.2
1996	Apr	179.0
1996	May	111.0
1996	Jun	43.8
1996	Jul	22.8
1996	Aug	89.4
1996	Sep	151.8
1996	Oct	139.0
1996	Nov	294.2
1996	Dec	211.2
1997	Jan	233.2
1997	Feb	26.6
1997	Mar 	12.6
1997	Apr	92.0
1997	May	17.6
1997	Jun	113.6
1997	Jul	36.4
1997	Aug	25.0
1997	Sep	33.2
1997	Oct	105.6
1997	Nov	245.4
1997	Dec	191.4
1998	Jan	146.2
1998	Feb	30.6
1998	Mar 	13.4
1998	Apr	99.8
1998	May	80.8
1998	Jun	13.8
1998	Jul	0.0
1998	Aug	15.2
1998	Sep	225.4
1998	Oct	222.0
1998	Nov	73.4
1998	Dec	33.4
1999	Jan	124.0
1999	Feb	47.6
1999	Mar 	102.2
1999	Apr	137.2
1999	May	26.2
1999	Jun	49.8
1999	Jul	43.4
1999	Aug	61.2
1999	Sep	178.0
1999	Oct	307.6
1999	Nov	140.4
1999	Dec	127.2
2000	Jan	24.6
2000	Feb	14.2
2000	Mar 	139.6
2000	Apr	89.0
2000	May	4.6
2000	Jun	41.6
2000	Jul	
2000	Aug	53.2
2000	Sep	81.2
2000	Oct	284.6
2000	Nov	415.8
2000	Dec	136.2
2001	Jan	208.6
2001	Feb	24.4
2001	Mar 	276.0
2001	Apr	68.2
2001	May	43.2
2001	Jun	20.6
2001	Jul	88.2
2001	Aug	4.0
2001	Sep	121.4
2001	Oct	158.2
2001	Nov	102.0
2001	Dec	27.0
2002	Jan	37.8
2002	Feb	96.6
2002	Mar 	16.2
2002	Apr	83.0
2002	May	96.0
2002	Jun	
2002	Jul	112.2
2002	Aug	228.6
2002	Sep	277.0
2002	Oct	98.2
2002	Nov	200.6
2002	Dec	203.0
2003	Jan	94.2
2003	Feb	11.6
2003	Mar 	
2003	Apr	108.8
2003	May	23.6
2003	Jun	20.4
2003	Jul	37.2
2003	Aug	2.8
2003	Sep	176.8
2003	Oct	137.4
2003	Nov	227.4
2003	Dec	97.8
2004	Jan	59.8
2004	Feb	126.4
2004	Mar 	111.4
2004	Apr	79.4
2004	May	105.0
2004	Jun	76.6
2004	Jul	4.6
2004	Aug	3.4
2004	Sep	176.8
2004	Oct	136.0
2004	Nov	92.0
2004	Dec	113.4
2005	Jan	38.8
2005	Feb	29.8
2005	Mar 	68.0
2005	Apr	98.8
2005	May	86.6
2005	Jun	20.4
2005	Jul	40.6
2005	Aug	60.0
2005	Sep	104.4
2005	Oct	64.8
2005	Nov	172.6
2005	Dec	211.6
2006	Jan	132.4
2006	Feb	131.6
2006	Mar 	141.6
2006	Apr	6.8
2006	May	24.2
2006	Jun	5.2
2006	Jul	14.0
2006	Aug	76.6
2006	Sep	121.8
2006	Oct	95.6
2006	Nov	100.6
2006	Dec	111.0
2007	Jan	133.4
2007	Feb	153.0
2007	Mar 	32.8
2007	Apr	5.2
2007	May	77.6
2007	Jun	56.6
2007	Jul	2.2
2007	Aug	106.8
2007	Sep	63.2
2007	Oct	77.4
2007	Nov	108.0
2007	Dec	68.8
2008	Jan	165.4
