year	month	rainfall
1947	Jun	18
1947	Jul	46
1947	Aug	28
1947	Sep	282
1947	Oct	280
1947	Nov	75
1947	Dec	195
1948	Jan	459
1948	Feb	24
1948	Mar	
1948	Apr	107
1948	May	180
1948	Jun	56
1948	Jul	33
1948	Aug	82
1948	Sep	98
1948	Oct	284
1948	Nov	94
1948	Dec	206
1949	Jan	131
1949	Feb	15
1949	Mar	141
1949	Apr	96
1949	May	130
1949	Jun	98
1949	Jul	1
1949	Aug	0
1949	Sep	119
1949	Oct	295
1949	Nov	410
1949	Dec	133
1950	Jan	39
1950	Feb	349
1950	Mar	58
1950	Apr	186
1950	May	70
1950	Jun	32
1950	Jul	0
1950	Aug	30
1950	Sep	77
1950	Oct	175
1950	Nov	230
1950	Dec	242
1951	Jan	261
1951	Feb	399
1951	Mar	270
1951	Apr	49
1951	May	148
1951	Jun	53
1951	Jul	18
1951	Aug	24
1951	Sep	60
1951	Oct	140
1951	Nov	364
1951	Dec	247
1952	Jan	100
1952	Feb	92
1952	Mar	54
1952	Apr	127
1952	May	73
1952	Jun	14
1952	Jul	94
1952	Aug	213
1952	Sep	140
1952	Oct	265
1952	Nov	136
1952	Dec	227
1953	Jan	33
1953	Feb	14
1953	Mar	18
1953	Apr	102
1953	May	95
1953	Jun	57
1953	Jul	99
1953	Aug	25
1953	Sep	178
1953	Oct	377
1953	Nov	45
1953	Dec	259
1954	Jan	130
1954	Feb	160
1954	Mar	163
1954	Apr	212
1954	May	193
1954	Jun	49
1954	Jul	143
1954	Aug	65
1954	Sep	51
1954	Oct	263
1954	Nov	310
1954	Dec	210
1955	Jan	186
1955	Feb	265
1955	Mar	157
1955	Apr	1
1955	May	104
1955	Jun	46
1955	Jul	37
1955	Aug	30
1955	Sep	84
1955	Oct	456
1955	Nov	149
1955	Dec	349
1956	Jan	171
1956	Feb	68
1956	Mar	189
1956	Apr	338
1956	May	51
1956	Jun	56
1956	Jul	35
1956	Aug	14
1956	Sep	171
1956	Oct	35
1956	Nov	170
1956	Dec	104
1957	Jan	140
1957	Feb	211
1957	Mar	100
1957	Apr	192
1957	May	188
1957	Jun	56
1957	Jul	59
1957	Aug	19
1957	Sep	36
1957	Oct	90
1957	Nov	269
1957	Dec	274
1958	Jan	158
1958	Feb	119
1958	Mar	116
1958	Apr	172
1958	May	43
1958	Jun	52
1958	Jul	43
1958	Aug	59
1958	Sep	68
1958	Oct	247
1958	Nov	134
1958	Dec	379
1959	Jan	97
1959	Feb	7
1959	Mar	119
1959	Apr	174
1959	May	130
1959	Jun	50
1959	Jul	66
1959	Aug	220
1959	Sep	51
1959	Oct	279
1959	Nov	328
1959	Dec	454
1960	Jan	109
1960	Feb	287
1960	Mar	213
1960	Apr	43
1960	May	10
1960	Jun	95
1960	Jul	51
1960	Aug	40
1960	Sep	227
1960	Oct	414
1960	Nov	444
1960	Dec	342
1961	Jan	293.0
1961	Feb	56.3
1961	Mar 	55.0
1961	Apr	211.2
1961	May	81.1
1961	Jun	132.3
1961	Jul	37.3
1961	Aug	25.6
1961	Sep	97.6
1961	Oct	243.2
1961	Nov	380.8
1961	Dec	143.9
1962	Jan	117.4
1962	Feb	104.3
1962	Mar 	211.7
1962	Apr	177.1
1962	May	90.5
1962	Jun	30.4
1962	Jul	4.7
1962	Aug	0.0
1962	Sep	69.6
1962	Oct	156.1
1962	Nov	260.8
1962	Dec	141.6
1963	Jan	298.9
1963	Feb	163.4
1963	Mar 	297.0
1963	Apr	134.5
1963	May	95.0
1963	Jun	154.3
