time_regular,rainfall_regular,rainfall_no_ss,rainfall_no_ss_1std
1841-02-01,297.4,199.02979400749064,114.51954774267175
1841-03-01,49.2,-53.472696629213544,-127.68397922837657
1841-04-01,46.35,-49.66034644194759,-115.97058335899877
1841-05-01,82.4,-3.2893879472693186,-57.067352906408686
1841-06-01,88.2,24.90191806331468,-28.79363575098818
1841-07-01,7.1,-30.601052141526985,-69.94155231113649
1841-08-01,39.5,-24.605288640595944,-83.00916434286249
1841-09-01,50.5,-68.879691011236,-168.51081217658373
1841-10-01,233.1,39.81839851024202,-95.79164070691661
1841-11-01,50.1,-135.2704841713223,-269.7376465176968
1841-12-01,213.0,87.92644320297951,-6.034565741882361
1842-01-01,136.2,28.344382022471862,-61.24542494591648
1842-02-01,33.8,-64.57020599250934,-149.08045225732823
1842-03-01,13.2,-89.47269662921354,-163.6839792283766
