time_regular,rainfall_regular,rainfall_no_ss
1899-10-01,156.1,-11.871491228070226
1899-11-01,52.3,-117.88405172413782
1899-12-01,65.4,-85.74658119658116
1900-01-01,176.6,51.331512605041965
1900-02-01,131.1,19.66016949152538
1900-03-01,230.1,114.43898305084748
1900-04-01,75.2,-17.63534482758618
1900-05-01,132.5,45.08217391304346
1900-06-01,58.0,-6.529310344827607
1900-07-01,35.8,-1.1913793103448285
1900-08-01,39.7,-12.523478260869567
1900-09-01,196.0,86.44210526315786
1900-10-01,197.2,29.228508771929768
1900-11-01,489.2,319.0159482758622
1900-12-01,68.0,-83.14658119658117
1901-01-01,45.6,-79.66848739495802
1901-02-01,118.6,7.16016949152538
1901-03-01,602.3,486.63898305084746
1901-04-01,69.2,-23.63534482758618
1901-05-01,143.6,56.18217391304346
1901-06-01,68.6,4.070689655172387
1901-07-01,,
1901-08-01,,
1901-09-01,,
1901-10-01,,
1901-11-01,,
1901-12-01,,
1902-01-01,30.0,-95.26848739495803
1902-02-01,128.8,17.360169491525397
1902-03-01,217.5,101.83898305084749
1902-04-01,72.4,-20.435344827586178
1902-05-01,56.5,-30.917826086956538
1902-06-01,9.1,-55.429310344827606
1902-07-01,66.1,29.10862068965517
1902-08-01,34.3,-17.923478260869572
1902-09-01,187.1,77.54210526315785
1902-10-01,141.5,-26.47149122807022
1902-11-01,335.4,165.21594827586216
1902-12-01,51.3,-99.84658119658117
1903-01-01,76.9,-48.368487394958024
1903-02-01,22.6,-88.83983050847462
1903-03-01,117.4,1.7389830508474944
1903-04-01,49.3,-43.53534482758619
1903-05-01,121.3,33.88217391304346
1903-06-01,182.3,117.7706896551724
1903-07-01,8.3,-28.691379310344825
1903-08-01,0.8,-51.42347826086957
1903-09-01,64.0,-45.557894736842144
1903-10-01,169.0,1.0285087719297792
1903-11-01,97.2,-72.98405172413781
1903-12-01,168.1,16.953418803418828
1904-01-01,103.7,-21.568487394958026
1904-02-01,199.7,88.26016949152537
1904-03-01,168.0,52.33898305084749
1904-04-01,27.7,-65.13534482758618
1904-05-01,6.2,-81.21782608695653
1904-06-01,12.1,-52.429310344827606
1904-07-01,10.2,-26.791379310344826
1904-08-01,36.4,-15.823478260869571
1904-09-01,148.5,38.942105263157856
1904-10-01,8.9,-159.07149122807022
1904-11-01,166.8,-3.384051724137805
1904-12-01,140.8,-10.346581196581155
1905-01-01,43.1,-82.16848739495802
1905-02-01,59.7,-51.73983050847461
1905-03-01,67.3,-48.361016949152514
1905-04-01,104.5,11.664655172413816
1905-05-01,116.8,29.38217391304346
1905-06-01,141.6,77.07068965517239
1905-07-01,99.2,62.20862068965518
1905-08-01,61.6,9.376521739130432
1905-09-01,100.2,-9.357894736842141
1905-10-01,128.6,-39.37149122807023
1905-11-01,399.4,229.21594827586216
1905-12-01,48.1,-103.04658119658117
1906-01-01,60.2,-65.06848739495803
1906-02-01,76.9,-34.53983050847461
1906-03-01,109.9,-5.761016949152506
1906-04-01,83.5,-9.335344827586184
1906-05-01,89.3,1.8821739130434594
1906-06-01,14.9,-49.62931034482761
1906-07-01,71.9,34.90862068965518
1906-08-01,0.0,-52.22347826086957
1906-09-01,66.0,-43.557894736842144
1906-10-01,152.9,-15.071491228070215
1906-11-01,402.0,231.81594827586218
1906-12-01,70.0,-81.14658119658117
1907-01-01,126.8,1.5315126050419678
1907-02-01,56.0,-55.439830508474614
1907-03-01,22.3,-93.36101694915251
1907-04-01,108.8,15.964655172413813
1907-05-01,42.3,-45.11782608695654
1907-06-01,30.3,-34.22931034482761
1907-07-01,28.1,-8.891379310344824
1907-08-01,0.3,-51.92347826086957
1907-09-01,100.5,-9.057894736842144
1907-10-01,588.2,420.2285087719298
1907-11-01,72.3,-97.88405172413782
1907-12-01,216.8,65.65341880341884
1908-01-01,13.1,-112.16848739495803
1908-02-01,23.8,-87.63983050847462
1908-03-01,169.9,54.238983050847494
1908-04-01,123.4,30.564655172413822
1908-05-01,112.0,24.582173913043462
1908-06-01,56.3,-8.22931034482761
1908-07-01,47.8,10.808620689655172
1908-08-01,44.0,-8.22347826086957
1908-09-01,47.8,-61.75789473684215
