time_regular,rainfall_regular,rainfall_no_ss,rainfall_no_ss_1std
1899-12-01,54.2,-30.955833333333388,-110.81718354505274
1900-01-01,68.0,-2.7222950819671468,-73.75575647415576
1900-02-01,150.4,84.66382113821135,19.68054990104251
1900-03-01,150.4,64.36803278688522,-10.05999193057714
1900-04-01,13.2,-81.63983739837397,-146.16823631420195
1900-05-01,236.6,152.13911290322574,88.47345029628511
1900-06-01,36.5,-14.937295081967221,-71.12015211728209
1900-07-01,2.9,-26.58048780487805,-57.549890246109044
1900-08-01,68.6,17.488211382113818,-31.41922943758715
1900-09-01,194.0,104.18181818181819,21.1643217684488
1900-10-01,63.3,-82.65537190082647,-196.34660770747013
1900-11-01,288.8,165.23512396694213,55.285833881585546
1900-12-01,32.5,-52.65583333333339,-132.51718354505275
1901-01-01,4.0,-66.72229508196715,-137.75575647415576
1901-02-01,41.0,-24.73617886178866,-89.7194500989575
1901-03-01,411.5,325.4680327868852,251.04000806942284
1901-04-01,54.5,-40.33983739837397,-104.86823631420195
1901-05-01,73.9,-10.560887096774252,-74.22654970371488
1901-06-01,449.0,397.56270491803275,341.37984788271785
1901-07-01,92.8,63.319512195121945,32.35010975389095
1901-08-01,21.8,-29.311788617886176,-78.21922943758715
1901-09-01,253.0,163.1818181818182,80.1643217684488
1901-10-01,394.3,248.34462809917355,134.65339229252987
1901-11-01,47.2,-76.36487603305788,-186.31416611841445
1901-12-01,180.0,94.84416666666661,14.982816454947255
1902-01-01,69.2,-1.522295081967144,-72.55575647415576
1902-02-01,138.7,72.96382113821133,7.980549901042494
1902-03-01,44.7,-41.33196721311478,-115.75999193057714
1902-04-01,94.9,0.0601626016260326,-64.46823631420195
1902-05-01,56.5,-27.960887096774258,-91.62654970371489
1902-06-01,52.8,1.362704918032776,-54.8201521172821
1902-07-01,5.0,-24.48048780487805,-55.44989024610905
1902-08-01,47.4,-3.711788617886178,-52.619229437587144
1902-09-01,28.5,-61.31818181818181,-144.33567823155119
1902-10-01,71.8,-74.15537190082647,-187.84660770747013
1902-11-01,82.2,-41.36487603305788,-151.31416611841445
1902-12-01,64.0,-21.15583333333339,-101.01718354505275
1903-01-01,62.1,-8.622295081967145,-79.65575647415577
1903-02-01,14.0,-51.73617886178866,-116.7194500989575
1903-03-01,68.3,-17.731967213114785,-92.15999193057715
1903-04-01,213.4,118.56016260162603,54.031763685798055
1903-05-01,145.5,61.03911290322574,-2.6265497037148933
1903-06-01,212.1,160.66270491803277,104.4798478827179
1903-07-01,23.3,-6.180487804878048,-37.149890246109045
1903-08-01,9.8,-41.31178861788618,-90.21922943758715
1903-09-01,27.3,-62.518181818181816,-145.5356782315512
1903-10-01,217.8,71.84462809917355,-41.84660770747011
1903-11-01,46.9,-76.66487603305788,-186.61416611841446
1903-12-01,226.9,141.74416666666662,61.88281645494726
1904-01-01,17.2,-53.522295081967144,-124.55575647415576
1904-02-01,105.4,39.66382113821135,-25.31945009895749
1904-03-01,85.0,-1.0319672131147826,-75.45999193057715
1904-04-01,31.4,-63.439837398373975,-127.96823631420196
1904-05-01,5.3,-79.16088709677426,-142.8265497037149
1904-06-01,18.3,-33.137295081967224,-89.3201521172821
1904-07-01,23.0,-6.480487804878049,-37.44989024610905
1904-08-01,37.4,-13.711788617886178,-62.619229437587144
1904-09-01,84.7,-5.11818181818181,-88.1356782315512
1904-10-01,82.7,-63.25537190082646,-176.94660770747012
1904-11-01,15.9,-107.66487603305788,-217.61416611841446
1904-12-01,64.9,-20.255833333333385,-100.11718354505274
1905-01-01,10.0,-60.72229508196715,-131.75575647415576
1905-02-01,98.5,32.76382113821134,-32.219450098957495
1905-03-01,106.3,20.268032786885215,-54.15999193057715
1905-04-01,115.8,20.960162601626024,-43.568236314201954
1905-05-01,292.0,207.53911290322574,143.8734502962851
1905-06-01,47.4,-4.037295081967223,-60.2201521172821
1905-07-01,2.4,-27.08048780487805,-58.049890246109044
1905-08-01,178.9,127.78821138211383,78.88077056241286
1905-09-01,150.0,60.18181818181819,-22.8356782315512
1905-10-01,45.6,-100.35537190082647,-214.04660770747012
1905-11-01,312.0,188.43512396694211,78.48583388158553
1905-12-01,26.3,-58.85583333333339,-138.71718354505276
1906-01-01,0.6,-70.12229508196715,-141.15575647415577
1906-02-01,78.4,12.663821138211347,-52.31945009895749
1906-03-01,73.3,-12.731967213114785,-87.15999193057715
